RFP,RBP,RFV,RBV,RZA,RXA,RZG,LFP,LBP,LFV,LBV,LZA,LXA,LZG,M
99.72,,71.1,0.2,-10.29,-1.27,-0.15,24.15,99.86,,142.1,-8.21,6.59,0.19,1403
,1.37,151,2.1,-7.7,-3.2,0.07,0.14,93.94,,110.1,-8.31,4.62,0.04,1408
96.03,3.97,75,3.1,-7.43,-2.6,0.02,6.06,87.46,,175.1,-8.95,4.23,-0.05,1413
,11.38,141,18.1,-8.09,-2.37,0.03,12.54,75.1,,199.1,-8.98,2.24,0.01,1418
85.57,14.43,42.1,7.1,-8.49,-1.02,0.07,24.9,95.79,,207.1,-9.15,2.78,0.23,1423
86.78,13.22,99.1,15.1,-8.61,-1.72,-0.16,4.21,99.92,,243.1,-9.57,1.91,0.44,1428
72.8,27.2,91,34,-8.92,-0.49,-0.34,0.08,82.31,,233.1,-10.14,-0.13,0.42,1433
,38.95,116,74,-8.83,-1.43,-0.35,17.69,99.96,,238.1,-9.76,0.96,0.47,1438
87.32,12.68,97.1,14.1,-7.42,-3,0.33,0.04,63.89,22.1,39.1,-8.89,4.54,-0.1,1443
,8.23,224,20.1,-7.75,-3.87,0.23,36.11,50,44.1,44.1,-9.26,3.8,-0.26,1448
96.18,3.82,78,3.1,-6.88,-4.05,0.16,50,53.2,73.1,83.1,-9.6,2,-0.04,1453
84.62,15.38,72.1,13.1,-9.36,-1.68,-0.25,46.8,99.83,,116.1,-9.23,1.99,-0.11,1458
72.94,27.06,46.1,17.1,-9.39,-1.08,0.15,0.17,91.67,6.1,67.1,-10.46,-1.06,-0.08,1463
98.68,1.32,82.1,1.1,-8.43,-2.65,0.12,8.33,55.33,46.1,57.1,-9.69,0.87,0.04,1468
80.92,19.08,98,23.1,-8.07,-4.31,0.16,44.67,32.87,39,19.1,-9.48,3.79,0.04,1473
,9.94,164,18.1,-8.54,-1.79,0.05,67.13,38,93,57,-9.12,3.36,0.06,1478
,7.92,164,14.1,-8.84,-2.7,0.07,62,27.79,112,43.1,-8.35,5.09,0.05,1483
61.02,38.98,86.1,55,-9.33,0.03,-0.23,,99.8,,102.1,-9.69,-0.4,0.01,1488
,22.46,100.1,29,-8.98,-0.08,-0.01,0.2,86.94,,167.1,-9.79,1.18,0.07,1493
,20.06,108,27.1,-8.54,-2.1,0.13,13.06,59.36,39.1,57.1,-9.18,3.68,0.05,1498
,5.77,116,7.1,-9.39,-0.42,-0.07,40.64,73.51,32.1,89.1,-9.32,0.32,0.05,1503
,25.61,183,63,-8.39,-2.95,0.08,26.49,58.42,,146.1,-9.41,2.64,0.04,1508
,29.19,148,61,-8.09,-2.97,0.07,,50.57,,183.1,-9.33,4.71,0.04,1513
,19.91,109,27.1,-8.44,-2.55,0.13,,18.18,140,31.1,-8.59,5.26,0.04,1518
,11.86,194,26.1,-8.7,-1.86,0.03,,28.29,198,78.1,-8.86,4.06,0.03,1523
,12.08,219,30.1,-8.69,-1.56,-0.09,,64.5,,100.1,-9.51,2.54,-0.01,1528
74.8,25.2,86.1,29,-8.98,0.7,-0.09,35.5,98.92,,101.1,-9.95,0.01,0.06,1533
39.78,60.22,62.1,94,-9.35,0.14,0.01,1.08,99.84,,127.1,-10,0.24,0.05,1538
72.38,27.62,92,35.1,-9.21,0.06,0.13,0.16,70.2,39.1,92.1,-9.52,1.64,0.06,1543
